Step, Strands, <Q>, piYX, trouton_1, trouton_2
276, 965, 0.201809, 0.026449, 6.870617, 0.028007
277, 971, 0.202310, 0.019842, 6.989162, 0.027001
278, 974, 0.202799, 0.019878, 7.002085, 0.023826
279, 968, 0.203864, 0.021138, 7.133412, 0.016392
280, 968, 0.203851, 0.023218, 7.163716, 0.015643
281, 970, 0.203933, 0.022685, 7.230786, 0.008868
282, 968, 0.204238, 0.020236, 7.288536, 0.021141
283, 960, 0.205466, 0.025137, 7.396713, 0.010520
284, 956, 0.205512, 0.020097, 7.464801, 0.015894
285, 951, 0.205585, 0.017881, 7.419728, 0.022065
286, 952, 0.205881, 0.017424, 7.522990, 0.013407
287, 943, 0.205155, 0.021574, 7.292582, 0.000367
288, 939, 0.205818, 0.022363, 7.421101, 0.009378
289, 932, 0.205864, 0.025505, 7.380445, 0.016439
290, 931, 0.205454, 0.020974, 7.187303, 0.016868
291, 930, 0.205065, 0.019539, 7.007907, 0.016058
292, 925, 0.204533, 0.018718, 7.009421, 0.014600
293, 928, 0.205294, 0.017401, 7.143086, 0.016194
294, 936, 0.205051, 0.018105, 7.247939, 0.012075
295, 932, 0.205644, 0.015537, 7.372428, 0.017728
296, 924, 0.205781, 0.014415, 7.332322, 0.016218
297, 928, 0.206021, 0.013371, 7.450092, 0.008042
298, 930, 0.205644, 0.011276, 7.213909, 0.006026
299, 930, 0.205365, 0.012925, 7.011725, 0.009740
300, 928, 0.205970, 0.010473, 7.107923, 0.006661
301, 933, 0.204577, 0.009774, 7.087753, 0.019276
302, 929, 0.204534, 0.008087, 7.019910, 0.041279
303, 930, 0.203368, 0.005802, 6.923190, 0.038387
304, 928, 0.203380, 0.003547, 6.969746, 0.028808
305, 919, 0.204220, 0.001830, 7.065331, 0.026405
306, 920, 0.203866, -0.001518, 7.035557, 0.024568
307, 924, 0.204316, 0.002154, 7.174890, 0.016278
308, 932, 0.203510, -0.000479, 6.898545, 0.018080
309, 929, 0.203231, 0.000205, 6.637180, 0.018648
310, 928, 0.202887, 0.000774, 6.651184, 0.014289
311, 929, 0.202821, 0.000769, 6.726810, 0.012686
312, 926, 0.203694, 0.004096, 6.838140, 0.021204
313, 929, 0.203654, 0.007841, 6.935577, 0.020758
314, 935, 0.204054, 0.007186, 7.084984, 0.023429
315, 934, 0.205087, 0.004215, 7.202718, 0.002886
316, 934, 0.204714, 0.006821, 7.248198, 0.025229
317, 931, 0.204204, 0.006437, 7.206783, 0.029410
318, 934, 0.203855, 0.008645, 7.295578, 0.030328
319, 928, 0.203460, 0.013976, 7.123644, 0.020645
320, 934, 0.202287, 0.015037, 6.889208, 0.024938
321, 929, 0.202418, 0.013762, 6.961752, 0.017748
322, 920, 0.204486, 0.015151, 7.101435, 0.006935
323, 916, 0.205139, 0.009743, 7.190028, 0.004481
324, 915, 0.205701, 0.014338, 7.318570, 0.007434
325, 917, 0.205031, 0.007571, 7.362762, 0.018143
326, 922, 0.205386, 0.007954, 7.394641, 0.028998
327, 924, 0.205215, 0.002898, 7.483653, 0.031555
328, 931, 0.205015, 0.000838, 7.618173, 0.038500
329, 927, 0.205355, 0.004928, 7.726362, 0.031810
330, 930, 0.204683, 0.006517, 7.680553, 0.034501
331, 924, 0.205404, 0.011058, 7.807988, 0.036641
332, 927, 0.206457, 0.008737, 7.972381, 0.042554
333, 928, 0.206354, 0.007616, 7.688432, 0.038007
334, 927, 0.205360, 0.008330, 7.145109, 0.030695
335, 935, 0.205335, 0.002808, 7.238846, 0.028655
336, 932, 0.206373, 0.006649, 7.359250, 0.026534
337, 929, 0.206794, 0.002560, 7.487151, 0.020890
338, 932, 0.207202, 0.005401, 7.585322, 0.033855
339, 927, 0.208667, 0.001131, 7.736711, 0.036996
340, 926, 0.208310, 0.003029, 7.476504, 0.052783
341, 934, 0.208002, 0.003973, 7.581089, 0.055978
342, 927, 0.208594, 0.004623, 7.660944, 0.046129
343, 928, 0.208543, 0.006269, 7.631350, 0.046993
344, 917, 0.209944, 0.005109, 7.762788, 0.048466
345, 913, 0.210980, 0.005912, 7.894941, 0.041369
346, 915, 0.208835, 0.000182, 7.452615, 0.028069
347, 920, 0.208440, 0.002828, 7.418156, 0.029018
348, 916, 0.208995, 0.007890, 7.514196, 0.029004
349, 910, 0.209547, 0.008047, 7.538194, 0.040805
350, 913, 0.210554, 0.002182, 7.694977, 0.036471
351, 910, 0.210530, 0.012142, 7.755051, 0.044589
352, 911, 0.211553, 0.020883, 7.906935, 0.040488
353, 907, 0.211841, 0.021326, 7.405842, 0.047384
354, 914, 0.212102, 0.023395, 7.477374, 0.034632
355, 919, 0.212029, 0.019444, 7.522863, 0.048290
356, 925, 0.212625, 0.012802, 7.660621, 0.033151
357, 927, 0.212139, 0.007760, 7.516299, 0.041205
358, 933, 0.212646, 0.008012, 7.666662, 0.050890
359, 939, 0.212875, 0.005916, 7.820072, 0.055326
360, 928, 0.214387, 0.003420, 7.980083, 0.049782
361, 928, 0.214166, 0.006505, 7.957084, 0.053957
362, 920, 0.214805, 0.006656, 8.003071, 0.044078
363, 915, 0.214875, 0.006406, 7.904953, 0.037648
364, 908, 0.215343, 0.002917, 7.996756, 0.026811
365, 913, 0.214340, 0.003169, 8.021464, 0.023170
366, 915, 0.213807, 0.003140, 7.822248, 0.017107
367, 920, 0.212754, 0.005659, 7.600992, 0.006543
368, 913, 0.211427, 0.007132, 6.799116, 0.003934
